site.id,plot.id,lat_dec,long_dec,stand.age,carbon_stock,accumulation_rate,AMT,AMP,soil.classification
9,8965,16.54,-90.96,30.0,359.87115729799996,11.995705243266665,26.0,2500.0,Unknown
9,8966,16.54,-90.96,30.0,130.112522756,4.337084091866667,26.0,2500.0,Unknown
9,8967,16.54,-90.96,30.0,451.69814256599994,15.056604752199998,26.0,2500.0,Unknown
9,8968,16.54,-90.96,30.0,187.179847368,6.2393282456,26.0,2500.0,Unknown
9,8969,16.54,-90.96,30.0,133.793444222,4.459781474066667,26.0,2500.0,Unknown
9,8970,16.54,-90.96,30.0,117.23146376099999,3.9077154586999994,26.0,2500.0,Unknown
9,8971,16.54,-90.96,30.0,80.17372311199999,2.6724574370666665,26.0,2500.0,Unknown
9,8972,16.54,-90.96,30.0,262.57163279499997,8.752387759833333,26.0,2500.0,Unknown
9,8973,16.54,-90.96,30.0,45.4279605769,1.5142653525633334,26.0,2500.0,Unknown
9,8974,16.54,-90.96,30.0,42.0147762747,1.4004925424899999,26.0,2500.0,Unknown
9,8975,16.54,-90.96,30.0,127.501419614,4.250047320466667,26.0,2500.0,Unknown
10,43,18.34,-65.76,9.0,5.5739047977,0.6193227553,26.0,2660.0,ultisols
10,44,18.34,-65.76,10.0,10.1211706038,1.01211706038,26.0,2660.0,ultisols
10,45,18.34,-65.76,14.0,31.105859693999996,2.2218471209999997,26.0,2660.0,ultisols
10,46,18.34,-65.76,15.0,58.242311169999994,3.8828207446666663,26.0,2660.0,ultisols
10,47,18.34,-65.76,20.0,132.65784714199998,6.632892357099999,26.0,2660.0,ultisols
10,48,18.34,-65.76,25.0,103.25618686199999,4.13024747448,26.0,2660.0,ultisols
11,8979,16.33,-90.67,2.0,16.3621096475,8.18105482375,26.0,2250.0,Unknown
11,8980,16.33,-90.67,3.0,41.53002214279999,13.843340714266665,26.0,2250.0,Unknown
11,8981,16.33,-90.67,3.0,30.820362851699997,10.2734542839,26.0,2250.0,Unknown
11,8982,16.33,-90.67,3.0,63.559492845,21.186497615,26.0,2250.0,Unknown
11,8983,16.33,-90.67,3.0,61.495658831,20.498552943666667,26.0,2250.0,Unknown
11,8984,16.33,-90.67,3.0,119.38166196699999,39.793887322333326,26.0,2250.0,Unknown
11,8985,16.33,-90.67,3.0,220.18521149799997,73.39507049933333,26.0,2250.0,Unknown
11,8986,16.33,-90.67,3.0,37.0497123487,12.349904116233333,26.0,2250.0,Unknown
11,8987,16.33,-90.67,4.0,69.92368412,17.48092103,26.0,2250.0,Unknown
11,8988,16.33,-90.67,4.0,268.94634666499996,67.23658666624999,26.0,2250.0,Unknown
11,8989,16.33,-90.67,4.0,6.6884030136999995,1.6721007534249999,26.0,2250.0,Unknown
11,8990,16.33,-90.67,4.0,38.07054254449999,9.517635636124998,26.0,2250.0,Unknown
11,8991,16.33,-90.67,4.0,114.62204683799999,28.655511709499997,26.0,2250.0,Unknown
11,8992,16.33,-90.67,5.0,13.483361273699998,2.6966722547399997,26.0,2250.0,Unknown
11,8993,16.33,-90.67,5.0,125.935629936,25.187125987199998,26.0,2250.0,Unknown
